table,slot,entry_kind,target
sft_e16cl_table,0x05,handler,_shr_e16_cl
sft_e16cl_table,0x06,handler,_shl_e16_cl
sft_e16cl_table,0x07,handler,_sar_e16_cl
sft_e8_table,0x00,handler,_rol_e8_1
sft_e8_table,0x01,handler,_ror_e8_1
sft_e8_table,0x02,handler,_rcl_e8_1
sft_e8_table,0x03,handler,_rcr_e8_1
sft_e8_table,0x04,handler,_shl_e8_1
sft_e8_table,0x05,handler,_shr_e8_1
sft_e8_table,0x06,handler,_shl_e8_1
sft_e8_table,0x07,handler,_sar_e8_1
sft_e8cl_table,0x00,handler,_rol_e8_cl
sft_e8cl_table,0x01,handler,_ror_e8_cl
sft_e8cl_table,0x02,handler,_rcl_e8_cl
sft_e8cl_table,0x03,handler,_rcr_e8_cl
sft_e8cl_table,0x04,handler,_shl_e8_cl
sft_e8cl_table,0x05,handler,_shr_e8_cl
sft_e8cl_table,0x06,handler,_shl_e8_cl
sft_e8cl_table,0x07,handler,_sar_e8_cl
sft_r16_table,0x00,handler,_rol_r16_1
sft_r16_table,0x01,handler,_ror_r16_1
sft_r16_table,0x02,handler,_rcl_r16_1
sft_r16_table,0x03,handler,_rcr_r16_1
sft_r16_table,0x04,handler,_shl_r16_1
sft_r16_table,0x05,handler,_shr_r16_1
sft_r16_table,0x06,handler,_shl_r16_1
sft_r16_table,0x07,handler,_sar_r16_1
sft_r16cl_table,0x00,handler,_rol_r16_cl
sft_r16cl_table,0x01,handler,_ror_r16_cl
sft_r16cl_table,0x02,handler,_rcl_r16_cl
sft_r16cl_table,0x03,handler,_rcr_r16_cl
sft_r16cl_table,0x04,handler,_shl_r16_cl
sft_r16cl_table,0x05,handler,_shr_r16_cl
sft_r16cl_table,0x06,handler,_shl_r16_cl
sft_r16cl_table,0x07,handler,_sar_r16_cl
sft_r8_table,0x00,handler,_rol_r8_1
sft_r8_table,0x01,handler,_ror_r8_1
sft_r8_table,0x02,handler,_rcl_r8_1
sft_r8_table,0x03,handler,_rcr_r8_1
sft_r8_table,0x04,handler,_shl_r8_1
sft_r8_table,0x05,handler,_shr_r8_1
sft_r8_table,0x06,handler,_shl_r8_1
sft_r8_table,0x07,handler,_sar_r8_1
sft_r8cl_table,0x00,handler,_rol_r8_cl
sft_r8cl_table,0x01,handler,_ror_r8_cl
sft_r8cl_table,0x02,handler,_rcl_r8_cl
sft_r8cl_table,0x03,handler,_rcr_r8_cl
sft_r8cl_table,0x04,handler,_shl_r8_cl
sft_r8cl_table,0x05,handler,_shr_r8_cl
sft_r8cl_table,0x06,handler,_shl_r8_cl
sft_r8cl_table,0x07,handler,_sar_r8_cl
v30op,0x00,handler,_add_ea_r8
v30op,0x01,handler,_add_ea_r16
v30op,0x02,handler,_add_r8_ea
v30op,0x03,handler,_add_r16_ea
v30op,0x04,handler,_add_al_data8
v30op,0x05,handler,_add_ax_data16
v30op,0x06,handler,_push_es
v30op,0x07,handler,_pop_es
v30op,0x08,handler,_or_ea_r8
v30op,0x09,handler,_or_ea_r16
v30op,0x0a,handler,_or_r8_ea
v30op,0x0b,handler,_or_r16_ea
v30op,0x0c,handler,_or_al_data8
v30op,0x0d,handler,_or_ax_data16
v30op,0x0e,handler,_push_cs
v30op,0x0f,handler,v30_ope0x0f
v30op,0x10,handler,_adc_ea_r8
v30op,0x11,handler,_adc_ea_r16
v30op,0x12,handler,_adc_r8_ea
v30op,0x13,handler,_adc_r16_ea
v30op,0x14,handler,_adc_al_data8
v30op,0x15,handler,_adc_ax_data16
v30op,0x16,handler,_push_ss
v30op,0x17,handler,_pop_ss
v30op,0x18,handler,_sbb_ea_r8
v30op,0x19,handler,_sbb_ea_r16
v30op,0x1a,handler,_sbb_r8_ea
v30op,0x1b,handler,_sbb_r16_ea
v30op,0x1c,handler,_sbb_al_data8
v30op,0x1d,handler,_sbb_ax_data16
v30op,0x1e,handler,_push_ds
v30op,0x1f,handler,_pop_ds
v30op,0x20,handler,_and_ea_r8
v30op,0x21,handler,_and_ea_r16
v30op,0x22,handler,_and_r8_ea
v30op,0x23,handler,_and_r16_ea
v30op,0x24,handler,_and_al_data8
v30op,0x25,handler,_and_ax_data16
v30op,0x26,handler,v30segprefix_es
v30op,0x27,handler,_daa
v30op,0x28,handler,_sub_ea_r8
v30op,0x29,handler,_sub_ea_r16
v30op,0x2a,handler,_sub_r8_ea
v30op,0x2b,handler,_sub_r16_ea
v30op,0x2c,handler,_sub_al_data8
v30op,0x2d,handler,_sub_ax_data16
v30op,0x2e,handler,v30segprefix_cs
v30op,0x2f,handler,_das
v30op,0x30,handler,_xor_ea_r8
v30op,0x31,handler,_xor_ea_r16
v30op,0x32,handler,_xor_r8_ea
v30op,0x33,handler,_xor_r16_ea
v30op,0x34,handler,_xor_al_data8
v30op,0x35,handler,_xor_ax_data16
v30op,0x36,handler,v30segprefix_ss
v30op,0x37,handler,_aaa
v30op,0x38,handler,_cmp_ea_r8
v30op,0x39,handler,_cmp_ea_r16
v30op,0x3a,handler,_cmp_r8_ea
v30op,0x3b,handler,_cmp_r16_ea
v30op,0x3c,handler,_cmp_al_data8
v30op,0x3d,handler,_cmp_ax_data16
v30op,0x3e,handler,v30segprefix_ds
v30op,0x3f,handler,_aas
v30op,0x40,handler,_inc_ax
v30op,0x41,handler,_inc_cx
v30op,0x42,handler,_inc_dx
v30op,0x43,handler,_inc_bx
v30op,0x44,handler,_inc_sp
v30op,0x45,handler,_inc_bp
v30op,0x46,handler,_inc_si
v30op,0x47,handler,_inc_di
v30op,0x48,handler,_dec_ax
v30op,0x49,handler,_dec_cx
v30op,0x4a,handler,_dec_dx
v30op,0x4b,handler,_dec_bx
v30op,0x4c,handler,_dec_sp
v30op,0x4d,handler,_dec_bp
v30op,0x4e,handler,_dec_si
v30op,0x4f,handler,_dec_di
v30op,0x50,handler,_push_ax
v30op,0x51,handler,_push_cx
v30op,0x52,handler,_push_dx
v30op,0x53,handler,_push_bx
v30op,0x54,handler,v30push_sp
v30op,0x55,handler,_push_bp
v30op,0x56,handler,_push_si
v30op,0x57,handler,_push_di
v30op,0x58,handler,_pop_ax
v30op,0x59,handler,_pop_cx
v30op,0x5a,handler,_pop_dx
v30op,0x5b,handler,_pop_bx
v30op,0x5c,handler,_pop_sp
v30op,0x5d,handler,_pop_bp
v30op,0x5e,handler,_pop_si
v30op,0x5f,handler,_pop_di
v30op,0x60,handler,_pusha
v30op,0x61,handler,_popa
v30op,0x62,handler,_bound
v30op,0x63,handler,v30_reserved
v30op,0x64,handler,v30_reserved_0x0f
v30op,0x65,handler,v30_repc
v30op,0x66,handler,v30_reserved
v30op,0x67,handler,v30_reserved
v30op,0x68,handler,_push_data16
v30op,0x69,handler,_imul_reg_ea_data16
v30op,0x6a,handler,_push_data8
v30op,0x6b,handler,_imul_reg_ea_data8
v30op,0x6c,handler,_insb
v30op,0x6d,handler,_insw
v30op,0x6e,handler,_outsb
v30op,0x6f,handler,_outsw
v30op,0x70,handler,_jo_short
v30op,0x71,handler,_jno_short
v30op,0x72,handler,_jc_short
v30op,0x73,handler,_jnc_short
v30op,0x74,handler,_jz_short
v30op,0x75,handler,_jnz_short
v30op,0x76,handler,_jna_short
v30op,0x77,handler,_ja_short
v30op,0x78,handler,_js_short
v30op,0x79,handler,_jns_short
v30op,0x7a,handler,_jp_short
v30op,0x7b,handler,_jnp_short
v30op,0x7c,handler,_jl_short
v30op,0x7d,handler,_jnl_short
v30op,0x7e,handler,_jle_short
v30op,0x7f,handler,_jnle_short
v30op,0x80,handler,_calc_ea8_i8
v30op,0x81,handler,_calc_ea16_i16
v30op,0x82,handler,_calc_ea8_i8
v30op,0x83,handler,_calc_ea16_i8
v30op,0x84,handler,_test_ea_r8
v30op,0x85,handler,_test_ea_r16
v30op,0x86,handler,_xchg_ea_r8
v30op,0x87,handler,_xchg_ea_r16
v30op,0x88,handler,_mov_ea_r8
v30op,0x89,handler,_mov_ea_r16
v30op,0x8a,handler,_mov_r8_ea
v30op,0x8b,handler,_mov_r16_ea
v30op,0x8c,handler,_mov_ea_seg
v30op,0x8d,handler,_lea_r16_ea
v30op,0x8e,handler,v30mov_seg_ea
v30op,0x8f,handler,_pop_ea
v30op,0x90,handler,_nop
v30op,0x91,handler,_xchg_ax_cx
v30op,0x92,handler,_xchg_ax_dx
v30op,0x93,handler,_xchg_ax_bx
v30op,0x94,handler,_xchg_ax_sp
v30op,0x95,handler,_xchg_ax_bp
v30op,0x96,handler,_xchg_ax_si
v30op,0x97,handler,_xchg_ax_di
v30op,0x98,handler,_cbw
v30op,0x99,handler,_cwd
v30op,0x9a,handler,_call_far
v30op,0x9b,handler,_wait
v30op,0x9c,handler,v30_pushf
v30op,0x9d,handler,v30_popf
v30op,0x9e,handler,_sahf
v30op,0x9f,handler,_lahf
v30op,0xa0,handler,_mov_al_m8
v30op,0xa1,handler,_mov_ax_m16
v30op,0xa2,handler,_mov_m8_al
v30op,0xa3,handler,_mov_m16_ax
v30op,0xa4,handler,_movsb
v30op,0xa5,handler,_movsw
v30op,0xa6,handler,_cmpsb
v30op,0xa7,handler,_cmpsw
v30op,0xa8,handler,_test_al_data8
v30op,0xa9,handler,_test_ax_data16
v30op,0xaa,handler,_stosb
v30op,0xab,handler,_stosw
v30op,0xac,handler,_lodsb
v30op,0xad,handler,_lodsw
v30op,0xae,handler,_scasb
v30op,0xaf,handler,_scasw
v30op,0xb0,handler,_mov_al_imm
v30op,0xb1,handler,_mov_cl_imm
v30op,0xb2,handler,_mov_dl_imm
v30op,0xb3,handler,_mov_bl_imm
v30op,0xb4,handler,_mov_ah_imm
v30op,0xb5,handler,_mov_ch_imm
v30op,0xb6,handler,_mov_dh_imm
v30op,0xb7,handler,_mov_bh_imm
v30op,0xb8,handler,_mov_ax_imm
v30op,0xb9,handler,_mov_cx_imm
v30op,0xba,handler,_mov_dx_imm
v30op,0xbb,handler,_mov_bx_imm
v30op,0xbc,handler,_mov_sp_imm
v30op,0xbd,handler,_mov_bp_imm
v30op,0xbe,handler,_mov_si_imm
v30op,0xbf,handler,_mov_di_imm
v30op,0xc0,handler,v30shift_ea8_data8
v30op,0xc1,handler,v30shift_ea16_data8
v30op,0xc2,handler,_ret_near_data16
v30op,0xc3,handler,_ret_near
v30op,0xc4,handler,_les_r16_ea
v30op,0xc5,handler,_lds_r16_ea
v30op,0xc6,handler,_mov_ea8_data8
v30op,0xc7,handler,_mov_ea16_data16
v30op,0xc8,handler,_enter
v30op,0xc9,handler,fleave
v30op,0xca,handler,_ret_far_data16
v30op,0xcb,handler,_ret_far
v30op,0xcc,handler,_int_03
v30op,0xcd,handler,_int_data8
v30op,0xce,handler,_into
v30op,0xcf,handler,v30_iret
v30op,0xd0,handler,_shift_ea8_1
v30op,0xd1,handler,_shift_ea16_1
v30op,0xd2,handler,v30shift_ea8_cl
v30op,0xd3,handler,v30shift_ea16_cl
v30op,0xd4,handler,v30_aam
v30op,0xd5,handler,v30_aad
v30op,0xd6,handler,v30_xlat
v30op,0xd7,handler,_xlat
v30op,0xd8,handler,_esc
v30op,0xd9,handler,_esc
v30op,0xda,handler,_esc
v30op,0xdb,handler,_esc
v30op,0xdc,handler,_esc
v30op,0xdd,handler,_esc
v30op,0xde,handler,_esc
v30op,0xdf,handler,_esc
v30op,0xe0,handler,_loopnz
v30op,0xe1,handler,_loopz
v30op,0xe2,handler,v30_loop
v30op,0xe3,handler,_jcxz
v30op,0xe4,handler,_in_al_data8
v30op,0xe5,handler,_in_ax_data8
v30op,0xe6,handler,_out_data8_al
v30op,0xe7,handler,_out_data8_ax
v30op,0xe8,handler,_call_near
v30op,0xe9,handler,_jmp_near
v30op,0xea,handler,_jmp_far
v30op,0xeb,handler,_jmp_short
v30op,0xec,handler,_in_al_dx
v30op,0xed,handler,_in_ax_dx
v30op,0xee,handler,_out_dx_al
v30op,0xef,handler,_out_dx_ax
v30op,0xf0,handler,_lock
v30op,0xf1,handler,_lock
v30op,0xf2,handler,v30_repne
v30op,0xf3,handler,v30_repe
v30op,0xf4,handler,_hlt
v30op,0xf5,handler,_cmc
v30op,0xf6,handler,v30_ope0xf6
v30op,0xf7,handler,v30_ope0xf7
v30op,0xf8,handler,_clc
v30op,0xf9,handler,_stc
v30op,0xfa,handler,_cli
v30op,0xfb,handler,_sti
v30op,0xfc,handler,_cld
v30op,0xfd,handler,_std
v30op,0xfe,handler,_ope0xfe
v30op,0xff,handler,_ope0xff
v30op_repc,0x00,handler,v30_reserved_repc
v30op_repc,0x01,handler,v30_reserved_repc
v30op_repc,0x02,handler,v30_reserved_repc
v30op_repc,0x03,handler,v30_reserved_repc
v30op_repc,0x04,handler,v30_reserved_repc
v30op_repc,0x05,handler,v30_reserved_repc
v30op_repc,0x06,handler,v30_reserved_repc
v30op_repc,0x07,handler,v30_reserved_repc
v30op_repc,0x08,handler,v30_reserved_repc
v30op_repc,0x09,handler,v30_reserved_repc
v30op_repc,0x0a,handler,v30_reserved_repc
v30op_repc,0x0b,handler,v30_reserved_repc
v30op_repc,0x0c,handler,v30_reserved_repc
v30op_repc,0x0d,handler,v30_reserved_repc
v30op_repc,0x0e,handler,v30_reserved_repc
v30op_repc,0x0f,handler,v30_reserved_repc
v30op_repc,0x10,handler,v30_reserved_repc
v30op_repc,0x11,handler,v30_reserved_repc
v30op_repc,0x12,handler,v30_reserved_repc
v30op_repc,0x13,handler,v30_reserved_repc
v30op_repc,0x14,handler,v30_reserved_repc
v30op_repc,0x15,handler,v30_reserved_repc
v30op_repc,0x16,handler,v30_reserved_repc
v30op_repc,0x17,handler,v30_reserved_repc
v30op_repc,0x18,handler,v30_reserved_repc
v30op_repc,0x19,handler,v30_reserved_repc
v30op_repc,0x1a,handler,v30_reserved_repc
v30op_repc,0x1b,handler,v30_reserved_repc
v30op_repc,0x1c,handler,v30_reserved_repc
v30op_repc,0x1d,handler,v30_reserved_repc
v30op_repc,0x1e,handler,v30_reserved_repc
v30op_repc,0x1f,handler,v30_reserved_repc
v30op_repc,0x20,handler,v30_reserved_repc
v30op_repc,0x21,handler,v30_reserved_repc
v30op_repc,0x22,handler,v30_reserved_repc
v30op_repc,0x23,handler,v30_reserved_repc
v30op_repc,0x24,handler,v30_reserved_repc
v30op_repc,0x25,handler,v30_reserved_repc
v30op_repc,0x26,handler,v30repc_segprefix_es
v30op_repc,0x27,handler,v30_reserved_repc
v30op_repc,0x28,handler,v30_reserved_repc
v30op_repc,0x29,handler,v30_reserved_repc
v30op_repc,0x2a,handler,v30_reserved_repc
v30op_repc,0x2b,handler,v30_reserved_repc
v30op_repc,0x2c,handler,v30_reserved_repc
v30op_repc,0x2d,handler,v30_reserved_repc
v30op_repc,0x2e,handler,v30repc_segprefix_cs
