table,slot,entry_kind,target
upd9002op,0x22,handler,_and_r8_ea
upd9002op,0x23,handler,_and_r16_ea
upd9002op,0x24,handler,_and_al_data8
upd9002op,0x25,handler,_and_ax_data16
upd9002op,0x26,handler,_segprefix_es
upd9002op,0x27,handler,_daa
upd9002op,0x28,handler,_sub_ea_r8
upd9002op,0x29,handler,_sub_ea_r16
upd9002op,0x2a,handler,_sub_r8_ea
upd9002op,0x2b,handler,_sub_r16_ea
upd9002op,0x2c,handler,_sub_al_data8
upd9002op,0x2d,handler,_sub_ax_data16
upd9002op,0x2e,handler,_segprefix_cs
upd9002op,0x2f,handler,_das
upd9002op,0x30,handler,_xor_ea_r8
upd9002op,0x31,handler,_xor_ea_r16
upd9002op,0x32,handler,_xor_r8_ea
upd9002op,0x33,handler,_xor_r16_ea
upd9002op,0x34,handler,_xor_al_data8
upd9002op,0x35,handler,_xor_ax_data16
upd9002op,0x36,handler,_segprefix_ss
upd9002op,0x37,handler,_aaa
upd9002op,0x38,handler,_cmp_ea_r8
upd9002op,0x39,handler,_cmp_ea_r16
upd9002op,0x3a,handler,_cmp_r8_ea
upd9002op,0x3b,handler,_cmp_r16_ea
upd9002op,0x3c,handler,_cmp_al_data8
upd9002op,0x3d,handler,_cmp_ax_data16
upd9002op,0x3e,handler,_segprefix_ds
upd9002op,0x3f,handler,_aas
upd9002op,0x40,handler,_inc_ax
upd9002op,0x41,handler,_inc_cx
upd9002op,0x42,handler,_inc_dx
upd9002op,0x43,handler,_inc_bx
upd9002op,0x44,handler,_inc_sp
upd9002op,0x45,handler,_inc_bp
upd9002op,0x46,handler,_inc_si
upd9002op,0x47,handler,_inc_di
upd9002op,0x48,handler,_dec_ax
upd9002op,0x49,handler,_dec_cx
upd9002op,0x4a,handler,_dec_dx
upd9002op,0x4b,handler,_dec_bx
upd9002op,0x4c,handler,_dec_sp
upd9002op,0x4d,handler,_dec_bp
upd9002op,0x4e,handler,_dec_si
upd9002op,0x4f,handler,_dec_di
upd9002op,0x50,handler,_push_ax
upd9002op,0x51,handler,_push_cx
upd9002op,0x52,handler,_push_dx
upd9002op,0x53,handler,_push_bx
