mode,opcode,subopcode,target,classification,basis
v30op,0x6f,-,_outsw,implemented,final-root-target
v30op,0x70,-,_jo_short,implemented,final-root-target
v30op,0x71,-,_jno_short,implemented,final-root-target
v30op,0x72,-,_jc_short,implemented,final-root-target
v30op,0x73,-,_jnc_short,implemented,final-root-target
v30op,0x74,-,_jz_short,implemented,final-root-target
v30op,0x75,-,_jnz_short,implemented,final-root-target
v30op,0x76,-,_jna_short,implemented,final-root-target
v30op,0x77,-,_ja_short,implemented,final-root-target
v30op,0x78,-,_js_short,implemented,final-root-target
v30op,0x79,-,_jns_short,implemented,final-root-target
v30op,0x7a,-,_jp_short,implemented,final-root-target
v30op,0x7b,-,_jnp_short,implemented,final-root-target
v30op,0x7c,-,_jl_short,implemented,final-root-target
v30op,0x7d,-,_jnl_short,implemented,final-root-target
v30op,0x7e,-,_jle_short,implemented,final-root-target
v30op,0x7f,-,_jnle_short,implemented,final-root-target
v30op,0x80,-,_calc_ea8_i8,implemented,final-root-target
v30op,0x81,-,_calc_ea16_i16,implemented,final-root-target
v30op,0x82,-,_calc_ea8_i8,implemented,final-root-target
v30op,0x83,-,_calc_ea16_i8,implemented,final-root-target
v30op,0x84,-,_test_ea_r8,implemented,final-root-target
v30op,0x85,-,_test_ea_r16,implemented,final-root-target
v30op,0x86,-,_xchg_ea_r8,implemented,final-root-target
v30op,0x87,-,_xchg_ea_r16,implemented,final-root-target
v30op,0x88,-,_mov_ea_r8,implemented,final-root-target
v30op,0x89,-,_mov_ea_r16,implemented,final-root-target
v30op,0x8a,-,_mov_r8_ea,implemented,final-root-target
v30op,0x8b,-,_mov_r16_ea,implemented,final-root-target
v30op,0x8c,-,_mov_ea_seg,implemented,final-root-target
v30op,0x8d,-,_lea_r16_ea,implemented,final-root-target
v30op,0x8e,-,v30mov_seg_ea,implemented,final-root-target
v30op,0x8f,-,_pop_ea,implemented,final-root-target
v30op,0x90,-,_nop,implemented,final-root-target
v30op,0x91,-,_xchg_ax_cx,implemented,final-root-target
v30op,0x92,-,_xchg_ax_dx,implemented,final-root-target
v30op,0x93,-,_xchg_ax_bx,implemented,final-root-target
v30op,0x94,-,_xchg_ax_sp,implemented,final-root-target
v30op,0x95,-,_xchg_ax_bp,implemented,final-root-target
v30op,0x96,-,_xchg_ax_si,implemented,final-root-target
v30op,0x97,-,_xchg_ax_di,implemented,final-root-target
v30op,0x98,-,_cbw,implemented,final-root-target
v30op,0x99,-,_cwd,implemented,final-root-target
v30op,0x9a,-,_call_far,implemented,final-root-target
v30op,0x9b,-,_wait,implemented,final-root-target
v30op,0x9c,-,v30_pushf,implemented,final-root-target
v30op,0x9d,-,v30_popf,implemented,final-root-target
v30op,0x9e,-,_sahf,implemented,final-root-target
v30op,0x9f,-,_lahf,implemented,final-root-target
v30op,0xa0,-,_mov_al_m8,implemented,final-root-target
v30op,0xa1,-,_mov_ax_m16,implemented,final-root-target
v30op,0xa2,-,_mov_m8_al,implemented,final-root-target
v30op,0xa3,-,_mov_m16_ax,implemented,final-root-target
v30op,0xa4,-,_movsb,implemented,final-root-target
v30op,0xa5,-,_movsw,implemented,final-root-target
v30op,0xa6,-,_cmpsb,implemented,final-root-target
v30op,0xa7,-,_cmpsw,implemented,final-root-target
v30op,0xa8,-,_test_al_data8,implemented,final-root-target
v30op,0xa9,-,_test_ax_data16,implemented,final-root-target
v30op,0xaa,-,_stosb,implemented,final-root-target
v30op,0xab,-,_stosw,implemented,final-root-target
v30op,0xac,-,_lodsb,implemented,final-root-target
v30op,0xad,-,_lodsw,implemented,final-root-target
v30op,0xae,-,_scasb,implemented,final-root-target
v30op,0xaf,-,_scasw,implemented,final-root-target
v30op,0xb0,-,_mov_al_imm,implemented,final-root-target
v30op,0xb1,-,_mov_cl_imm,implemented,final-root-target
v30op,0xb2,-,_mov_dl_imm,implemented,final-root-target
v30op,0xb3,-,_mov_bl_imm,implemented,final-root-target
v30op,0xb4,-,_mov_ah_imm,implemented,final-root-target
v30op,0xb5,-,_mov_ch_imm,implemented,final-root-target
v30op,0xb6,-,_mov_dh_imm,implemented,final-root-target
v30op,0xb7,-,_mov_bh_imm,implemented,final-root-target
v30op,0xb8,-,_mov_ax_imm,implemented,final-root-target
v30op,0xb9,-,_mov_cx_imm,implemented,final-root-target
v30op,0xba,-,_mov_dx_imm,implemented,final-root-target
v30op,0xbb,-,_mov_bx_imm,implemented,final-root-target
v30op,0xbc,-,_mov_sp_imm,implemented,final-root-target
v30op,0xbd,-,_mov_bp_imm,implemented,final-root-target
v30op,0xbe,-,_mov_si_imm,implemented,final-root-target
v30op,0xbf,-,_mov_di_imm,implemented,final-root-target
v30op,0xc0,-,v30shift_ea8_data8,implemented,final-root-target
v30op,0xc1,-,v30shift_ea16_data8,implemented,final-root-target
v30op,0xc2,-,_ret_near_data16,implemented,final-root-target
v30op,0xc3,-,_ret_near,implemented,final-root-target
v30op,0xc4,-,_les_r16_ea,implemented,final-root-target
v30op,0xc5,-,_lds_r16_ea,implemented,final-root-target
v30op,0xc6,-,_mov_ea8_data8,implemented,final-root-target
v30op,0xc7,-,_mov_ea16_data16,implemented,final-root-target
v30op,0xc8,-,_enter,implemented,final-root-target
v30op,0xc9,-,fleave,implemented,final-root-target
v30op,0xca,-,_ret_far_data16,implemented,final-root-target
v30op,0xcb,-,_ret_far,implemented,final-root-target
v30op,0xcc,-,_int_03,implemented,final-root-target
v30op,0xcd,-,_int_data8,implemented,final-root-target
v30op,0xce,-,_into,implemented,final-root-target
v30op,0xcf,-,v30_iret,implemented,final-root-target
v30op,0xd0,-,_shift_ea8_1,implemented,final-root-target
v30op,0xd1,-,_shift_ea16_1,implemented,final-root-target
v30op,0xd2,-,v30shift_ea8_cl,implemented,final-root-target
v30op,0xd3,-,v30shift_ea16_cl,implemented,final-root-target
v30op,0xd4,-,v30_aam,implemented,final-root-target
v30op,0xd5,-,v30_aad,implemented,final-root-target
v30op,0xd6,-,v30_xlat,implemented,final-root-target
v30op,0xd7,-,_xlat,implemented,final-root-target
v30op,0xd8,-,_esc,implemented,final-root-target
v30op,0xd9,-,_esc,implemented,final-root-target
v30op,0xda,-,_esc,implemented,final-root-target
v30op,0xdb,-,_esc,implemented,final-root-target
v30op,0xdc,-,_esc,implemented,final-root-target
v30op,0xdd,-,_esc,implemented,final-root-target
v30op,0xde,-,_esc,implemented,final-root-target
v30op,0xdf,-,_esc,implemented,final-root-target
v30op,0xe0,-,_loopnz,implemented,final-root-target
v30op,0xe1,-,_loopz,implemented,final-root-target
v30op,0xe2,-,v30_loop,implemented,final-root-target
v30op,0xe3,-,_jcxz,implemented,final-root-target
v30op,0xe4,-,_in_al_data8,implemented,final-root-target
v30op,0xe5,-,_in_ax_data8,implemented,final-root-target
v30op,0xe6,-,_out_data8_al,implemented,final-root-target
v30op,0xe7,-,_out_data8_ax,implemented,final-root-target
v30op,0xe8,-,_call_near,implemented,final-root-target
v30op,0xe9,-,_jmp_near,implemented,final-root-target
v30op,0xea,-,_jmp_far,implemented,final-root-target
v30op,0xeb,-,_jmp_short,implemented,final-root-target
v30op,0xec,-,_in_al_dx,implemented,final-root-target
v30op,0xed,-,_in_ax_dx,implemented,final-root-target
