root,slot,base,base_target,operation,final_target
v30op,0xa6,i286op,_cmpsb,base,_cmpsb
v30op,0xa7,i286op,_cmpsw,base,_cmpsw
v30op,0xa8,i286op,_test_al_data8,base,_test_al_data8
v30op,0xa9,i286op,_test_ax_data16,base,_test_ax_data16
v30op,0xaa,i286op,_stosb,base,_stosb
v30op,0xab,i286op,_stosw,base,_stosw
v30op,0xac,i286op,_lodsb,base,_lodsb
v30op,0xad,i286op,_lodsw,base,_lodsw
v30op,0xae,i286op,_scasb,base,_scasb
v30op,0xaf,i286op,_scasw,base,_scasw
v30op,0xb0,i286op,_mov_al_imm,base,_mov_al_imm
v30op,0xb1,i286op,_mov_cl_imm,base,_mov_cl_imm
v30op,0xb2,i286op,_mov_dl_imm,base,_mov_dl_imm
v30op,0xb3,i286op,_mov_bl_imm,base,_mov_bl_imm
v30op,0xb4,i286op,_mov_ah_imm,base,_mov_ah_imm
v30op,0xb5,i286op,_mov_ch_imm,base,_mov_ch_imm
v30op,0xb6,i286op,_mov_dh_imm,base,_mov_dh_imm
v30op,0xb7,i286op,_mov_bh_imm,base,_mov_bh_imm
v30op,0xb8,i286op,_mov_ax_imm,base,_mov_ax_imm
v30op,0xb9,i286op,_mov_cx_imm,base,_mov_cx_imm
v30op,0xba,i286op,_mov_dx_imm,base,_mov_dx_imm
v30op,0xbb,i286op,_mov_bx_imm,base,_mov_bx_imm
v30op,0xbc,i286op,_mov_sp_imm,base,_mov_sp_imm
v30op,0xbd,i286op,_mov_bp_imm,base,_mov_bp_imm
v30op,0xbe,i286op,_mov_si_imm,base,_mov_si_imm
v30op,0xbf,i286op,_mov_di_imm,base,_mov_di_imm
v30op,0xc0,i286op,_shift_ea8_data8,patch,v30shift_ea8_data8
v30op,0xc1,i286op,_shift_ea16_data8,patch,v30shift_ea16_data8
v30op,0xc2,i286op,_ret_near_data16,base,_ret_near_data16
v30op,0xc3,i286op,_ret_near,base,_ret_near
v30op,0xc4,i286op,_les_r16_ea,base,_les_r16_ea
v30op,0xc5,i286op,_lds_r16_ea,base,_lds_r16_ea
v30op,0xc6,i286op,_mov_ea8_data8,base,_mov_ea8_data8
v30op,0xc7,i286op,_mov_ea16_data16,base,_mov_ea16_data16
v30op,0xc8,i286op,_enter,base,_enter
v30op,0xc9,i286op,fleave,base,fleave
v30op,0xca,i286op,_ret_far_data16,base,_ret_far_data16
v30op,0xcb,i286op,_ret_far,base,_ret_far
v30op,0xcc,i286op,_int_03,base,_int_03
v30op,0xcd,i286op,_int_data8,base,_int_data8
v30op,0xce,i286op,_into,base,_into
v30op,0xcf,i286op,_iret,patch,v30_iret
v30op,0xd0,i286op,_shift_ea8_1,base,_shift_ea8_1
v30op,0xd1,i286op,_shift_ea16_1,base,_shift_ea16_1
v30op,0xd2,i286op,_shift_ea8_cl,patch,v30shift_ea8_cl
v30op,0xd3,i286op,_shift_ea16_cl,patch,v30shift_ea16_cl
v30op,0xd4,i286op,_aam,patch,v30_aam
v30op,0xd5,i286op,_aad,patch,v30_aad
v30op,0xd6,i286op,_setalc,patch,v30_xlat
v30op,0xd7,i286op,_xlat,base,_xlat
v30op,0xd8,i286op,_esc,base,_esc
v30op,0xd9,i286op,_esc,base,_esc
v30op,0xda,i286op,_esc,base,_esc
v30op,0xdb,i286op,_esc,base,_esc
v30op,0xdc,i286op,_esc,base,_esc
v30op,0xdd,i286op,_esc,base,_esc
v30op,0xde,i286op,_esc,base,_esc
v30op,0xdf,i286op,_esc,base,_esc
v30op,0xe0,i286op,_loopnz,base,_loopnz
v30op,0xe1,i286op,_loopz,base,_loopz
v30op,0xe2,i286op,_loop,patch,v30_loop
v30op,0xe3,i286op,_jcxz,base,_jcxz
v30op,0xe4,i286op,_in_al_data8,base,_in_al_data8
v30op,0xe5,i286op,_in_ax_data8,base,_in_ax_data8
v30op,0xe6,i286op,_out_data8_al,base,_out_data8_al
v30op,0xe7,i286op,_out_data8_ax,base,_out_data8_ax
v30op,0xe8,i286op,_call_near,base,_call_near
v30op,0xe9,i286op,_jmp_near,base,_jmp_near
v30op,0xea,i286op,_jmp_far,base,_jmp_far
v30op,0xeb,i286op,_jmp_short,base,_jmp_short
v30op,0xec,i286op,_in_al_dx,base,_in_al_dx
v30op,0xed,i286op,_in_ax_dx,base,_in_ax_dx
v30op,0xee,i286op,_out_dx_al,base,_out_dx_al
v30op,0xef,i286op,_out_dx_ax,base,_out_dx_ax
v30op,0xf0,i286op,_lock,base,_lock
v30op,0xf1,i286op,_lock,base,_lock
v30op,0xf2,i286op,_repne,patch,v30_repne
v30op,0xf3,i286op,_repe,patch,v30_repe
v30op,0xf4,i286op,_hlt,base,_hlt
v30op,0xf5,i286op,_cmc,base,_cmc
v30op,0xf6,i286op,_ope0xf6,patch,v30_ope0xf6
v30op,0xf7,i286op,_ope0xf7,patch,v30_ope0xf7
v30op,0xf8,i286op,_clc,base,_clc
v30op,0xf9,i286op,_stc,base,_stc
v30op,0xfa,i286op,_cli,base,_cli
v30op,0xfb,i286op,_sti,base,_sti
v30op,0xfc,i286op,_cld,base,_cld
v30op,0xfd,i286op,_std,base,_std
v30op,0xfe,i286op,_ope0xfe,base,_ope0xfe
v30op,0xff,i286op,_ope0xff,base,_ope0xff
v30op_repne,0x00,i286op_repne,_add_ea_r8,base,_add_ea_r8
v30op_repne,0x01,i286op_repne,_add_ea_r16,base,_add_ea_r16
